id	Foregut 2	Pharyngeal endoderm	Foregut 1	Midgut	Hindgut 2	Midgut/Hindgut	Hindgut 1	ExE endoderm
cell_108946	0.0017129798290763283	0.0017292006520793456	0.0016547252318660597	0.0016539364233928507	0.0016609240177231296	0.00167818777026741	0.0014557951112149992	2.724916279586927e-06
cell_108968	0.0015415054396471432	0.0015562560272184515	0.0014887881858673385	0.0014880518609554963	0.0014945975685722944	0.0015100358668043374	0.001310311758935849	2.587352931668737e-06
cell_108984	0.0014227431807014369	0.001436786187108378	0.0013726176444270796	0.0013719491655256174	0.0013784964351581418	0.001392869573463203	0.0012047688372671032	2.0447665756150025e-06
cell_109021	0.0014724258398337619	0.0014871737121674566	0.0014205675476538498	0.001419380252618874	0.0014255348500208825	0.0014409741656538188	0.0012430205527310275	1.9264767410612607e-06
cell_109040	0.0002376196932081257	0.00021506005155240776	0.00032762870616543987	0.0003222319491500688	0.0003061920375861153	0.00028521909034632924	0.0005817803097970997	0.0002334631262174248
cell_109050	0.0015723162389016038	0.0015879043681586607	0.001517168734740263	0.0015161543895328767	0.0015230563455112286	0.001539161950825608	0.0013306030953921537	2.294808916915401e-06
cell_109053	0.0015920168471601623	0.0016077954575205316	0.0015361284653476076	0.0015351668823310888	0.0015422297547175066	0.0015584777626393338	0.0013477428765495752	2.2509400319236e-06
cell_109066	0.0014809286231358746	0.0014961508927735859	0.0014275163559604258	0.0014264364902998182	0.0014333859378054127	0.0014487340916115412	0.0012487622608258653	1.8146053215770125e-06
cell_109166	0.001585531959841024	0.001601372596535514	0.0015294727883485002	0.0015285072586721051	0.0015356636647849455	0.0015518874746026476	0.001341026734608831	2.1324677018832148e-06
cell_109182	0.0016153701311343131	0.0016299717437682733	0.0015622867693348586	0.0015617821654160746	0.001567885175523974	0.0015838435371600267	0.001379542877372851	2.866301300818613e-06
cell_109190	0.0013787497498395599	0.001392741685516608	0.001329443062716559	0.0013285282841106708	0.0013350089264907424	0.0013491416043107996	0.001164441684280725	2.0650236533741237e-06
cell_109191	0.00037853697972003606	0.00034842241018419193	0.00047723296715239546	0.00048489756233979005	0.0004756659540083142	0.00044288867610015986	0.0008540455400078303	0.0001748311956308805
cell_109216	0.0002780764522177207	0.00025200308264905225	0.00037538534124670293	0.0003738616500483306	0.0003593994508670771	0.00033367510156700217	0.0006792125820510898	0.000483624834661691
cell_109217	0.0014866821135457722	0.0015019938537272099	0.0014329806268273972	0.001431864800250856	0.0014388569589370206	0.0014543054314653807	0.0012529362149693423	1.8794286363650636e-06
cell_109258	0.0013638620879523869	0.001377353944330594	0.001316010519429296	0.001315189209202037	0.0013211720529984691	0.001335127952248625	0.0011543359589185024	1.9887683486081196e-06
cell_109271	0.0003319425071765046	0.0003037604910511938	0.0004270740099764561	0.00043264457261745664	0.000422694343944227	0.0003922315781354459	0.0007797445305840192	0.00018141317339578932
cell_109317	0.0015415577154392643	0.0015548530054948044	0.00149243529530977	0.001492252437758282	0.0014978137151011345	0.0015126938084258667	0.0013223016886166209	2.9389342185270605e-06
cell_109339	0.0015411283139118521	0.0015555757878503564	0.0014893143322755003	0.0014886379001888752	0.001494857549165464	0.0015101951468243417	0.001313017165511499	2.6117428561122072e-06
cell_109345	0.0014436541962684242	0.0014580515758939603	0.001392463057220682	0.001391677042442064	0.0013983360153760288	0.0014130502588180303	0.0012207103549594627	1.985026620976482e-06
cell_109369	0.00037674837645559184	0.0003474916203479214	0.00046912691438476354	0.000479416773947189	0.0004730339066084008	0.0004396628267706161	0.0008492260679645973	0.00013574972560259616
cell_109385	0.00022404554886078993	0.00020272854140883045	0.0002974600590729049	0.0003007978694471315	0.00029298467745619996	0.000269962701826058	0.0005630000176945962	0.0002180939404659833
cell_109392	0.0015896080571397302	0.0016040982040626515	0.0015368965666286891	0.0015364871797497424	0.001542954908945477	0.0015585094169726426	0.001357121297095464	3.017040773111128e-06
cell_109400	0.00035737414093067765	0.0003256596227440697	0.0004591438461617992	0.00046932688103506066	0.0004621905511804502	0.00042585915200692615	0.0008718347722233532	0.00018030500181138588
cell_109411	5.277586781078966e-06	4.4110898452489e-06	1.7380703515189748e-05	1.0574763379524206e-05	6.238964051446016e-06	6.516488120916615e-06	1.1263370251626176e-05	0.012375000130334499
cell_109455	0.0003947488213876448	0.0003637843054970861	0.0004893317894183957	0.0005021608503961341	0.000497086029071966	0.00046144530039615717	0.0008917780725181192	0.00015849113854770068
cell_109476	0.00021454156938360873	0.0001943477254304224	0.00029402817204777706	0.0002901373364021133	0.0002768164177220809	0.0002572853773434285	0.0005286651852076338	0.00013489773816684867
cell_109478	0.00027220540554408874	0.000247562459968667	0.0003638445552780189	0.00036281122613335655	0.000349277798136382	0.00032452098731784376	0.0006575772239348666	0.00018932759013163126
cell_109491	0.0016490341975476548	0.0016651471212034195	0.0015916375345027447	0.0015906799481510262	0.0015977016942693037	0.0016146008811389757	0.0013962516029521535	2.2686865479491716e-06
cell_109503	0.0016885335665979158	0.0017044604598905856	0.0016314818303652908	0.0016305338380607944	0.001637012540198387	0.0016542690825949288	0.0014340687890446915	2.551634966666557e-06
cell_109509	0.0003206289515099741	0.0002920597540719089	0.0004195597381731084	0.0004235456530693646	0.00041246216171647473	0.0003819422327718518	0.0007731067994684689	0.00029433894476580785
cell_109547	0.0014600041154505872	0.0014747352912914257	0.001407992917983055	0.0014069863908774364	0.001413569248419015	0.0014287004627008624	0.0012321905580631462	1.9531518024562866e-06
cell_109551	0.0014481919926360204	0.0014628682521046596	0.001396247910685456	0.0013954666284232617	0.0014024765930648884	0.0014171592894861907	0.0012241420414002419	1.930750792368568e-06
cell_109555	0.0014630654453190574	0.0014771430697044343	0.0014123456755540213	0.0014119480679220134	0.0014187391582358997	0.0014331097117480883	0.0012440239691485706	2.3841674411601357e-06
cell_109564	9.189530069023913e-06	7.904046614601738e-06	2.3458359217764026e-05	1.6206376537675253e-05	1.1298607276183288e-05	1.1314452309516163e-05	2.091370830385734e-05	0.012217623341801433
cell_109584	0.001395923691141421	0.001410510978467325	0.0013449599831743587	0.0013438770549792612	0.0013506595282109552	0.0013651620381725205	0.0011754316147947995	1.7192897920129901e-06
cell_109589	0.0015619864372449321	0.001577879966063662	0.0015060107775489748	0.001504925475894092	0.0015121524472746968	0.001528304712929286	0.0013179248610463606	2.009428977550484e-06
cell_109592	0.0004011559457406916	0.0003706837164516045	0.00049491375874401	0.0005067697292299029	0.0005008038926019448	0.00046646361435365434	0.0008843977419360532	0.00014857408002967815
cell_109610	0.0015053725408962042	0.0015197569390724213	0.001454008797266976	0.0014531794219384718	0.0014592780446297834	0.0014745537750123932	0.0012783501099133086	2.3785376647230362e-06
cell_109628	0.0002619824175359418	0.00023744319066232753	0.00035214799864600414	0.00035181769538660467	0.00033933931199481233	0.00031458017347254597	0.0006421583523580501	0.0006102305228687587
cell_109641	0.00022589770303372254	0.00020502956647664821	0.00030301696092387983	0.00030253238229758204	0.0002911931603254397	0.0002700773695712491	0.000554180881487289	0.00010835600636920111
cell_109658	0.0016038324194549592	0.0016197850993510167	0.0015475197147658386	0.001546345319448925	0.0015531199422403456	0.0015698159701696649	0.0013551468710486458	2.072749894234719e-06
cell_109667	0.0015846775048561279	0.0016004624430664305	0.0015286688621694692	0.001527800511270687	0.0015350814843389808	0.0015511689402571052	0.0013412287374938857	2.2070743955973374e-06
cell_109689	0.0003351178408329127	0.00030545125180722566	0.00043396378015502553	0.0004408194910131875	0.00043152706604249094	0.00039895099898772806	0.000808190865310675	0.0002477447486869457
cell_109692	0.0014070657032299704	0.001421484919519927	0.0013562936997337986	0.0013553890746037618	0.00136220617020468	0.001376615922647697	0.0011875081014428184	1.8925330626779592e-06
cell_109698	0.0015106458439214572	0.0015259152827295048	0.0014567655883245044	0.0014557113640194961	0.0014625217052137442	0.001478191547522005	0.0012747455646603624	1.9638334201807084e-06
cell_109719	0.0012968913467794755	0.0013102342141217576	0.001250164449261144	0.0012491474605985954	0.0012550593702245999	0.0012685906228753095	0.0010932132368794097	1.6078037073606479e-06
cell_109737	0.0016336423783207183	0.0016494803835714377	0.0015771214844415135	0.0015762590929430586	0.0015832732643555126	0.0015998672304475704	0.0013850782124319027	2.3957325539870124e-06
cell_109744	0.0015468007859342874	0.0015619239165373517	0.0014932823702175756	0.001492185682287547	0.0014984821368630137	0.001514484490888518	0.001309520695962234	2.280356786145726e-06
cell_109766	0.00038385102582014756	0.0003527360274173398	0.0004799297982996205	0.0004919410254061509	0.0004859760220669844	0.00045072231952336466	0.0008792031335439365	0.00016328213582029856
cell_109778	0.0014417165567404261	0.0014563760122862765	0.0013900167250935468	0.0013890836193387569	0.0013958940310447219	0.00141069618898869	0.001217143319284023	1.9415500768125934e-06
cell_109781	0.00027825095114381043	0.00025408582413941543	0.00036577508996290354	0.00036641543567260816	0.00035452513685779236	0.0003296156385025643	0.0006592765708748025	0.00014306924346658861
cell_109785	0.0016085807606691725	0.0016244311017859715	0.001552330982050656	0.0015513027259530137	0.001558168192626018	0.0015747376654930711	0.0013608536715581196	2.2272420064689447e-06
cell_109793	0.0014261914690675511	0.0014401804598567465	0.0013762409023986152	0.0013756315533843793	0.0013821992180729071	0.001396476033818136	0.0012096430304065413	2.0361276789768087e-06
cell_109804	0.0016059402262802562	0.001621371372310931	0.0015506664301557435	0.0015499525406918275	0.0015568737260788976	0.001572998045763096	0.0013638354290497188	2.3999770817482847e-06
cell_109811	0.001597791532432739	0.0016129147539605275	0.0015436210157852334	0.0015427863711387475	0.0015491506851335692	0.0015653554002312915	0.0013575232905629192	2.440993037801768e-06
cell_109823	0.00025654429012294947	0.0002330714769247686	0.00033522802449082785	0.0003402514854560316	0.0003327899926015615	0.0003071446315759247	0.0006290977659996201	0.0002490627647338315
cell_109848	0.0014481052164192348	0.001462729624929446	0.0013966646176628728	0.0013956240515156121	0.0014021509558705466	0.001417099840101209	0.0012232490103270518	1.9889601650577267e-06
cell_109856	0.001543921159402393	0.0015596075629514194	0.0014888036226669969	0.001487642390429091	0.0014945878934519744	0.0015106322851691579	0.0013027335260843973	2.066224756409818e-06
cell_109857	0.00019056915507475756	0.00017114506387707964	0.0002774648229864918	0.0002660819553004895	0.0002471178619917901	0.0002313316338781449	0.00047552205136855484	0.0005744904511110398
